idx,sample_id,y_true,y_pred,true_label,pred_label,confidence,correct
498,GTEX-RVPU-0008-SM-3NM8B,2,2,Normal Tissue,Normal Tissue,0.821414589881897,True
675,GTEX-ZAJG-0126-SM-5HL94,2,2,Normal Tissue,Normal Tissue,0.9992899894714355,True
779,GTEX-13VXU-0626-SM-5L3F9,2,2,Normal Tissue,Normal Tissue,0.9849700927734375,True
1102,GTEX-PSDG-0008-SM-48TE5,2,2,Normal Tissue,Normal Tissue,0.9874279499053955,True
668,GTEX-ZE9C-2526-SM-5IJDR,2,2,Normal Tissue,Normal Tissue,0.9596814513206482,True
234,GTEX-X5EB-0008-SM-46MU3,2,2,Normal Tissue,Normal Tissue,0.9880241751670837,True
366,GTEX-WEY5-0008-SM-4LMKC,2,2,Normal Tissue,Normal Tissue,0.99178546667099,True
66,GTEX-Z93S-0008-SM-4RGM5,2,2,Normal Tissue,Normal Tissue,0.8980344533920288,True
999,GTEX-12WSB-2926-SM-59HKL,2,2,Normal Tissue,Normal Tissue,0.9496067762374878,True
1013,TCGA-D3-A8GR-06,1,1,Metastasis,Metastasis,0.7919310927391052,True
315,GTEX-WFG7-0008-SM-4LMKB,2,2,Normal Tissue,Normal Tissue,0.9983635544776917,True
578,TCGA-EB-A1NK-01,0,0,Primary Tumor,Primary Tumor,0.7674819827079773,True
299,GTEX-UJMC-0008-SM-4IHKK,2,2,Normal Tissue,Normal Tissue,0.9666255116462708,True
357,GTEX-Y5LM-1926-SM-5RQJH,2,2,Normal Tissue,Normal Tissue,0.99924635887146,True
1092,GTEX-1399S-0126-SM-5IJCF,2,2,Normal Tissue,Normal Tissue,0.9987854361534119,True
541,GTEX-Y9LG-0008-SM-4VBRJ,2,2,Normal Tissue,Normal Tissue,0.8352952003479004,True
189,GTEX-T5JC-0426-SM-32PLO,2,2,Normal Tissue,Normal Tissue,0.9907442927360535,True
633,GTEX-XK95-0226-SM-4AT58,2,2,Normal Tissue,Normal Tissue,0.9882678389549255,True
68,GTEX-XUW1-0926-SM-4BONX,2,2,Normal Tissue,Normal Tissue,0.9953351616859436,True
812,TCGA-EE-A29B-06,1,1,Metastasis,Metastasis,0.7550477981567383,True
1168,GTEX-X62O-0126-SM-4E3JN,2,2,Normal Tissue,Normal Tissue,0.9955741167068481,True
1113,TCGA-YG-AA3P-06,1,1,Metastasis,Metastasis,0.837643027305603,True
24,GTEX-T6MO-1626-SM-32QOM,2,2,Normal Tissue,Normal Tissue,0.999464213848114,True
939,GTEX-YECK-0326-SM-4W1YS,2,2,Normal Tissue,Normal Tissue,0.8487195372581482,True
0,GTEX-ZF29-0926-SM-4WKFZ,2,2,Normal Tissue,Normal Tissue,0.9947807192802429,True
395,TCGA-D3-A2JN-06,1,1,Metastasis,Metastasis,0.8545522689819336,True
853,TCGA-ER-A19N-06,1,1,Metastasis,Metastasis,0.5329305529594421,True
126,TCGA-GN-A262-06,1,1,Metastasis,Metastasis,0.8545934557914734,True
609,GTEX-ZXG5-2126-SM-59HKD,2,2,Normal Tissue,Normal Tissue,0.9959539175033569,True
968,GTEX-RTLS-0008-SM-48FET,2,2,Normal Tissue,Normal Tissue,0.9856584668159485,True
232,GTEX-111VG-0008-SM-5Q5BG,2,2,Normal Tissue,Normal Tissue,0.9889004230499268,True
705,GTEX-145LS-0126-SM-5QGP1,2,2,Normal Tissue,Normal Tissue,0.9971809387207031,True
917,GTEX-XQ8I-0926-SM-4BOOF,2,2,Normal Tissue,Normal Tissue,0.9982877373695374,True
778,GTEX-OHPM-0008-SM-4E3IP,2,2,Normal Tissue,Normal Tissue,0.7333140969276428,True
460,GTEX-ZWKS-0626-SM-5GIDV,2,2,Normal Tissue,Normal Tissue,0.9944601058959961,True
740,TCGA-D3-A5GN-06,1,1,Metastasis,Metastasis,0.9683903455734253,True
626,GTEX-11NUK-2726-SM-5A5MC,2,2,Normal Tissue,Normal Tissue,0.9867998361587524,True
422,GTEX-ZU9S-1826-SM-5NQ9E,2,2,Normal Tissue,Normal Tissue,0.9872382879257202,True
1278,TCGA-EE-A29L-06,1,1,Metastasis,Metastasis,0.6333645582199097,True
711,TCGA-D9-A6EG-06,1,1,Metastasis,Metastasis,0.6583297848701477,True
1209,TCGA-WE-AAA0-06,1,1,Metastasis,Metastasis,0.9283349514007568,True
242,GTEX-Z93S-1626-SM-5CVMB,2,2,Normal Tissue,Normal Tissue,0.9766030311584473,True
784,GTEX-ZE7O-0126-SM-57WC1,2,2,Normal Tissue,Normal Tissue,0.9943196773529053,True
1085,TCGA-D9-A148-06,1,1,Metastasis,Metastasis,0.8978248834609985,True
425,GTEX-133LE-2326-SM-5K7W3,2,2,Normal Tissue,Normal Tissue,0.9931507110595703,True
762,TCGA-ER-A2NG-06,1,1,Metastasis,Metastasis,0.4589878022670746,True
715,GTEX-R55F-0008-SM-48FE6,2,2,Normal Tissue,Normal Tissue,0.5678738951683044,True
854,TCGA-BF-A5EP-01,0,1,Primary Tumor,Metastasis,0.7543160915374756,False
1199,GTEX-ZY6K-1826-SM-5GZXK,2,2,Normal Tissue,Normal Tissue,0.9648691415786743,True
630,TCGA-WE-A8ZN-06,1,1,Metastasis,Metastasis,0.8400095105171204,True
272,GTEX-Y8E4-0008-SM-4V6FW,2,2,Normal Tissue,Normal Tissue,0.8740458488464355,True
958,GTEX-147F4-0226-SM-5QGPW,2,2,Normal Tissue,Normal Tissue,0.9985857009887695,True
1193,GTEX-ZPIC-0008-SM-4E3JF,2,2,Normal Tissue,Normal Tissue,0.9785953164100647,True
800,GTEX-11EQ9-2426-SM-5HL5T,2,2,Normal Tissue,Normal Tissue,0.9995114803314209,True
100,GTEX-T5JW-0008-SM-4DM5X,2,2,Normal Tissue,Normal Tissue,0.9808332920074463,True
303,TCGA-D3-A3MR-06,1,1,Metastasis,Metastasis,0.9755968451499939,True
535,GTEX-139T4-0008-SM-5S2WF,2,1,Normal Tissue,Metastasis,0.5790005922317505,False
